Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
76555;Maysfield;TX;30.784.169;-9.696.376;-6;1;30.784169,-96.96376
78331;Alice;TX;27.750.684;-98.082.694;-6;1;27.750684,-98.082694
78563;Linn;TX;26.633.158;-9.821.578;-6;1;26.633158,-98.21578
53558;McFarland;WI;43.015.498;-8.928.954;-6;1;43.015498,-89.28954
61485;Victoria;IL;41.025.484;-9.008.422;-6;1;41.025484,-90.08422
67563;Offerle;KS;37.861.674;-9.956.069;-6;1;37.861674,-99.56069
67839;Dighton;KS;38.514.924;-10.043.776;-6;1;38.514924,-100.43776
70038;Boothville;LA;29.307.982;-8.938.007;-6;1;29.307982,-89.38007
62616;Philadelphia;IL;39.852.164;-90.143.114;-6;1;39.852164,-90.143114
63129;Saint Louis;MO;38.469.953;-9.032.161;-6;1;38.469953,-90.32161
64152;Kansas City;MO;39.216.635;-9.469.991;-6;1;39.216635,-94.69991
74834;Chandler;OK;35.702.159;-9.688.961;-6;1;35.702159,-96.88961
75044;Garland;TX;32.960.375;-9.666.188;-6;1;32.960375,-96.66188
75382;Dallas;TX;32.767.268;-96.777.626;-6;1;32.767268,-96.777626
31011;Chauncey;GA;32.108.676;-8.306.006;-5;1;32.108676,-83.06006
32111;Candler;FL;29.060.711;-81.969.048;-5;1;29.060711,-81.969048
49853;McMillan;MI;46.301.265;-8.572.321;-5;1;46.301265,-85.72321
50231;Randall;IA;42.237.408;-9.360.253;-6;1;42.237408,-93.60253
50255;Thornburg;IA;41.336.267;-92.178.366;-6;1;41.336267,-92.178366
53527;Cottage Grove;WI;43.073.751;-891.967;-6;1;43.073751,-89.1967
53942;Lime Ridge;WI;43.468.211;-90.161.478;-6;1;43.468211,-90.161478
55403;Minneapolis;MN;44.971.765;-9.328.557;-6;1;44.971765,-93.28557
41564;Sidney;KY;37.610.331;-8.236.125;-5;1;37.610331,-82.36125
42455;Sebree;KY;37.600.857;-8.752.635;-6;1;37.600857,-87.52635
43270;Columbus;OH;39.969.036;-83.011.389;-5;1;39.969036,-83.011389
43920;East Liverpool;OH;40.641.545;-8.057.469;-5;1;40.641545,-80.57469
45062;Seven Mile;OH;39.480.856;-8.455.382;-5;1;39.480856,-84.55382
38550;Campaign;TN;35.773.417;-85.619.169;-6;1;35.773417,-85.619169
39207;Jackson;MS;32.311.287;-9.039.715.699.999.990;-6;1;32.311287,-90.397157
39531;Biloxi;MS;30.405.831;-8.896.219;-6;1;30.405831,-88.96219
32618;Archer;FL;29.517.277;-8.254.518;-5;1;29.517277,-82.54518
33466;Lake Worth;FL;26.645.895;-80.430.269;-5;1;26.645895,-80.430269
46514;Elkhart;IN;41.707.616;-8.597.605;-5;0;41.707616,-85.97605
